                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.1869,                0.72256,                 1.0607,                0.80836,                0.74259,                0.77166,                0.38365,                 1.8262,                 1.1704,                 1.3216,             8.6932e-05,             8.6932e-05,             8.6932e-05
                     69,                 1.2043,                 0.7355,                 1.0585,                0.83168,                0.68891,                0.75989,                0.36997,                 1.8355,                 1.1656,                 1.3299,             8.6734e-05,             8.6734e-05,             8.6734e-05
                     70,                 1.1899,                0.75014,                 1.0385,                0.81178,                0.70061,                0.76169,                0.42333,                 1.7865,                 1.1558,                 1.3313,             8.6536e-05,             8.6536e-05,             8.6536e-05
                     71,                 1.1678,                 0.7364,                 1.0445,                 0.8391,                0.72603,                0.79112,                0.41794,                 1.7343,                  1.097,                 1.3074,             8.6338e-05,             8.6338e-05,             8.6338e-05
                     72,                 1.1624,                 0.7338,                  1.049,                0.86827,                0.68216,                0.76398,                0.41051,                  1.763,                  1.189,                 1.3089,              8.614e-05,              8.614e-05,              8.614e-05
                     73,                 1.1733,                0.73939,                 1.0501,                0.87937,                0.68428,                0.77354,                0.43729,                  1.732,                 1.1553,                 1.2955,             8.5942e-05,             8.5942e-05,             8.5942e-05
                     74,                 1.1405,                0.72788,                 1.0522,                0.91226,                0.69084,                0.78307,                0.41167,                 1.8344,                 1.0929,                 1.4008,             8.5744e-05,             8.5744e-05,             8.5744e-05
                     75,                  1.198,                 0.7421,                 1.0559,                0.87261,                0.71429,                0.78871,                0.40958,                 1.7768,                 1.0976,                 1.3136,             8.5546e-05,             8.5546e-05,             8.5546e-05
                     76,                 1.1699,                 0.7589,                 1.0441,                0.90985,                0.72088,                0.78509,                 0.4205,                  1.805,                 1.0941,                 1.3338,             8.5348e-05,             8.5348e-05,             8.5348e-05
                     77,                  1.201,                0.76233,                 1.0555,                0.89134,                0.68472,                 0.7857,                0.39918,                  1.821,                 1.1294,                 1.3349,              8.515e-05,              8.515e-05,              8.515e-05
                     78,                 1.1738,                0.79153,                 1.0611,                 0.8268,                0.72238,                0.77339,                0.40881,                 1.8035,                 1.0906,                 1.3467,             8.4952e-05,             8.4952e-05,             8.4952e-05
                     79,                 1.2019,                0.73913,                 1.0843,                0.85159,                0.68324,                0.76328,                0.41749,                 1.7569,                 1.1587,                 1.3289,             8.4754e-05,             8.4754e-05,             8.4754e-05
                     80,                 1.1045,                0.70893,                 1.0403,                0.84458,                0.69011,                0.78191,                0.40886,                 1.8246,                 1.1506,                 1.3426,             8.4556e-05,             8.4556e-05,             8.4556e-05
                     81,                 1.1459,                0.71844,                 1.0407,                0.82499,                0.70172,                0.78358,                0.38784,                 1.8818,                 1.1754,                 1.3503,             8.4358e-05,             8.4358e-05,             8.4358e-05
                     82,                 1.1475,                0.70766,                 1.0321,                0.82999,                0.74369,                0.79324,                0.40423,                 1.8036,                 1.1848,                 1.3345,              8.416e-05,              8.416e-05,              8.416e-05
                     83,                 1.0974,                0.66601,                 1.0175,                0.82604,                0.71848,                0.80042,                0.41247,                  1.793,                 1.1377,                 1.3499,             8.3962e-05,             8.3962e-05,             8.3962e-05
                     84,                  1.089,                0.68733,                 1.0057,                0.82886,                0.73993,                0.79463,                0.40741,                 1.8069,                 1.1379,                 1.3299,             8.3764e-05,             8.3764e-05,             8.3764e-05
                     85,                 1.1206,                 0.7029,                 1.0294,                0.79578,                0.77309,                0.79426,                0.38946,                  1.815,                 1.1147,                 1.3673,             8.3566e-05,             8.3566e-05,             8.3566e-05
                     86,                   1.07,                0.68524,                 1.0154,                0.77031,                0.77587,                0.79831,                0.40561,                 1.8041,                 1.1168,                 1.3548,             8.3368e-05,             8.3368e-05,             8.3368e-05
                     87,                 1.0928,                0.69898,                 1.0466,                0.82946,                0.75835,                0.79909,                0.41345,                 1.7799,                 1.1041,                 1.3666,              8.317e-05,              8.317e-05,              8.317e-05
                     88,                 1.1418,                0.68039,                 1.0181,                0.85115,                0.69597,                0.78681,                0.41237,                 1.7898,                 1.1302,                 1.3414,             8.2972e-05,             8.2972e-05,             8.2972e-05
                     89,                 1.1555,                0.71695,                 1.0314,                0.89563,                 0.6803,                0.79105,                 0.4089,                 1.7883,                  1.138,                 1.3316,             8.2774e-05,             8.2774e-05,             8.2774e-05
                     90,                 1.1293,                0.70798,                 1.0303,                0.79528,                0.74359,                 0.7906,                 0.3973,                 1.8021,                 1.1709,                 1.3475,             8.2576e-05,             8.2576e-05,             8.2576e-05
                     91,                 1.1381,                0.69289,                 1.0398,                0.88891,                0.68446,                0.79962,                0.39981,                 1.7676,                 1.1443,                  1.318,             8.2378e-05,             8.2378e-05,             8.2378e-05
                     92,                 1.1412,                0.73008,                 1.0555,                0.82444,                0.74469,                0.80402,                0.41065,                 1.7532,                 1.0861,                   1.34,              8.218e-05,              8.218e-05,              8.218e-05
                     93,                 1.0652,                0.68135,                 1.0221,                0.83235,                 0.7762,                0.79854,                0.39705,                 1.7967,                 1.0738,                 1.3425,             8.1982e-05,             8.1982e-05,             8.1982e-05
                     94,                 1.1259,                0.68558,                 1.0296,                 0.7963,                0.72381,                0.75634,                0.40468,                 1.7717,                 1.0455,                 1.3505,             8.1784e-05,             8.1784e-05,             8.1784e-05
                     95,                 1.1269,                0.68019,                 1.0239,                0.86466,                0.75238,                0.80058,                  0.395,                 1.8178,                 1.0659,                 1.3876,             8.1586e-05,             8.1586e-05,             8.1586e-05
                     96,                 1.0679,                 0.6318,                 1.0036,                0.86621,                0.68326,                 0.7631,                0.39677,                  1.814,                 1.1148,                  1.373,             8.1388e-05,             8.1388e-05,             8.1388e-05
                     97,                 1.1018,                0.70431,                 1.0176,                0.82139,                0.70809,                0.76532,                0.36249,                 1.8808,                 1.1456,                 1.4212,              8.119e-05,              8.119e-05,              8.119e-05
                     98,                  1.064,                0.67335,                 1.0118,                0.78281,                 0.7321,                 0.7754,                0.39501,                 1.8216,                  1.129,                 1.3673,             8.0992e-05,             8.0992e-05,             8.0992e-05
                     99,                 1.0682,                0.69968,                 1.0186,                0.86995,                0.68864,                0.77756,                 0.4026,                 1.8264,                 1.1599,                 1.3647,             8.0794e-05,             8.0794e-05,             8.0794e-05
                    100,                 1.0539,                0.64822,                0.98935,                0.84413,                0.71209,                 0.7692,                0.39557,                 1.8385,                 1.1508,                 1.3587,             8.0596e-05,             8.0596e-05,             8.0596e-05
                    101,                 1.0099,                0.61156,                0.98332,                0.86341,                0.70599,                0.75981,                0.38515,                 1.8682,                  1.149,                 1.3775,             8.0398e-05,             8.0398e-05,             8.0398e-05
                    102,                 1.0725,                0.63572,                0.98606,                0.76355,                0.71901,                0.72957,                0.40147,                 1.8137,                  1.129,                 1.3745,               8.02e-05,               8.02e-05,               8.02e-05
                    103,                  1.039,                 0.6334,                0.99778,                0.81441,                0.71015,                0.77224,                0.40487,                 1.8018,                 1.1075,                 1.3221,             8.0002e-05,             8.0002e-05,             8.0002e-05
